stop_id,visible,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,equipment_id,contributor_id,geometry_id
BSO:SA:CTPoutgrim,1,"La Grimpette",50.692646,1.601746,,1,,Europe/Paris,,BSO,
BSO:SA:CTPouthlm,1,"HLM",50.702644,1.603564,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutkenn,1,"Kennedy Outreau Place",50.702927,1.592866,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutlagr,1,"Léo Lagrange",50.689808,1.603826,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutlal,1,"Laligand",50.711739,1.595232,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutlep1,1,"LEP Outreau",50.704319,1.589806,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutlibe,1,"Liberté",50.711273,1.591797,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutmai,1,"Huit Mai",50.707706,1.598762,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutman,1,"Rte de Manihen",50.687702,1.605401,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutmazu,1,"Mazurettes",50.70229,1.595977,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutmont,1,"Mont Soleil",50.699295,1.582865,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutmou1,1,"Collège Jean Moulin",50.706036,1.58043,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutnce,1,"Résistance",50.714592,1.595376,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutneuf,1,"Mont Neuf Garromanche",50.710938,1.600409,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutorm,1,"Ormes",50.69841,1.585884,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutpeu,1,"Peupliers",50.700237,1.587021,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutplac,1,"Place d'Outreau",50.704559,1.591862,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutpost,1,"Outreau Poste",50.706543,1.593367,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutpres,1,"Presbytère",50.70644,1.590158,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutre1,1,"Résurgat 1",50.706589,1.608431,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutre2,1,"Résurgat 2",50.69278,1.603507,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutrena,1,"Tour du Renard",50.699131,1.591563,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutresu,1,"Résurgat",50.699883,1.607929,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutrsal,1,"Roger Salengro",50.708164,1.600283,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutsall,1,"La Salle",50.699371,1.57638,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutserv,1,"Services des Mines",50.692661,1.577691,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutsir,1,"Mont Plaisir",50.714317,1.596988,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutver,1,"Rue Verte",50.697662,1.60152,,1,,Europe/Paris,,BSO,
BSO:SA:CTPperplac,1,"Pernes Place",50.75198,1.704894,,1,,Europe/Paris,,BSO,
BSO:SA:CTPpersouv,1,"Souverain Moulin",50.753559,1.690216,,1,,Europe/Paris,,BSO,
BSO:SA:CTPpitpit1,1,"Pittefaux",50.756203,1.684684,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemcach,1,"La Cachaine",50.677044,1.634593,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemcalv,1,"Calvaire",50.672951,1.609498,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemchat,1,"Chateau",50.685371,1.61664,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemcime,1,"Cimetière de St Etienne au Mont",50.669422,1.635288,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemcite,1,"Cité Calonne",50.674419,1.633712,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemcol1,1,"Collège Paul Eluard",50.672512,1.630905,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemcord,1,"R.Cordier",50.673836,1.636654,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemecau,1,"Ecault Centre",50.666649,1.604687,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemecol,1,"Ecole",50.668762,1.606039,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemegli2,1,"Eglise d'Ecault",50.675812,1.610285,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemfont,1,"La Fontaine",50.667622,1.602469,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemgar,1,"Les Garennes",50.664246,1.596658,,1,,Europe/Paris,,BSO,
BSO:SA:CTPsemgau,1,"Gaultier",50.684505,1.620321,,1,,Europe/Paris,,BSO,
